Date,EMB,BNDX,KWEB,GLD,XLY,XLV,IJR
19/2/2021,111.989998,57.380001,101.800003,167.009995,169.568474,114.426041,105.95
18/2/2021,112.589996,57.529999,100.68,166.320007,170.608255,115.752542,104.16
17/2/2021,112.709999,57.599998,103.559998,166.330002,170.512378,116.508535,105.78
16/2/2021,112.089996,57.540001,103.529999,168.240005,169.563751,116.098043,106.36
12/2/2021,113.480003,57.849998,102.199997,170.690002,170.34226,117.292855,106.69
11/2/2021,114.110001,58.02,102.290001,171.210007,170.125961,116.421404,106.51
10/2/2021,114.040001,57.970001,99.940002,172.710007,170.52551,116.18692,106.1
9/2/2021,113.809998,58.02,97.760002,172.080002,172.251034,115.992393,106.47
8/2/2021,114.220001,57.990002,95.480003,171.520004,173.244871,115.848666,105.79
5/2/2021,114.220001,58.02,95.68,169.809998,172.172017,115.682232,102.96
4/2/2021,114.089996,58.049999,94.510002,168.149994,170.552447,115.3926,101.76
3/2/2021,113.760002,58.07,93.82,171.850006,168.806587,114.98218,100.05
2/2/2021,114.050003,58.139999,92.519997,172.110001,169.722995,115.792212,99.59
1/2/2021,114.050003,58.189999,90.760002,174.229996,166.14464,115.471584,99.44
29/1/2021,113.849998,58.18,86.790001,172.610001,162.079946,115.108424,97.66
28/1/2021,113.860001,58.279999,88.110001,172.679993,165.852687,116.067252,99.14
27/1/2021,113.620003,58.310001,89.010002,172.520004,165.152046,114.324497,100.98
26/1/2021,114.150002,58.32,91.379997,173.619995,170.582892,117.918152,101.31
25/1/2021,114.300003,58.360001,93.040001,174.050003,170.738891,118.386128,101.28
22/1/2021,113.849998,58.220001,90.339996,173.899994,170.135508,117.619865,101.19
21/1/2021,113.800003,58.189999,89.120003,175.279999,170.636497,117.948153,99.91
20/1/2021,113.720001,58.349998,89.029999,175.389999,169.909846,118.523929,101.02
19/1/2021,113.589996,58.34,84.959999,172.580002,166.786615,117.847291,100.57
15/1/2021,113.43,58.34,80.779999,171.130005,165.776559,116.944753,99.55
14/1/2021,113.300003,58.349998,81.43,173.279999,167.048699,116.573962,101.25
13/1/2021,113.629997,58.439999,80.5,173.369995,168.134688,116.940328,98.99
12/1/2021,113.099998,58.209999,80.5,173.369995,168.118447,116.647667,99.83
11/1/2021,113.639999,58.27,80.5,173.369995,165.616132,117.90931,98.17
8/1/2021,114.540001,58.389999,80.5,173.369995,168.734282,117.317792,97.76
7/1/2021,114.480003,58.43,80.5,173.369995,165.451726,116.766767,98.54
6/1/2021,114.519997,58.419998,80.5,173.369995,162.260788,115.250762,97.32
5/1/2021,115.349998,58.5,80.5,173.369995,160.589599,113.65128,92.88
4/1/2021,115.269997,58.560001,80.5,173.369995,159.300369,112.898339,90.9
31/12/2020,115.910004,58.549999,76.790001,178.360001,160.832454,113.507556,91.88
30/12/2020,115.839996,58.529999,77.580002,177.699997,160.607635,112.196719,91.8
29/12/2020,115.690002,58.52,74.900002,176.350006,159.720461,112.188658,90.89
28/12/2020,115.519997,58.5,71.988998,175.710007,159.640115,111.701042,92.33
24/12/2020,115.489998,58.459999,73.893158,176.350006,157.886598,111.402651,92.05
23/12/2020,115.199997,58.369999,76.495171,175.649994,157.505773,111.132995,92.07
22/12/2020,115.029999,58.650002,75.338715,174.490005,157.171864,111.04468,91.06
21/12/2020,114.889999,58.599998,76.734436,175.880005,157.843809,111.407771,90.65
18/12/2020,115.220001,58.549999,77.452232,176.440002,159.701317,112.935569,90.94
17/12/2020,115.370003,58.59,77.362503,176.740005,160.737981,112.904633,91.63
16/12/2020,115.389999,58.549999,76.176147,174.899994,159.681828,111.65459,90.71
15/12/2020,115.309998,58.66,75.44838,173.940002,158.605762,112.027517,91.2
14/12/2020,114.919998,58.650002,75.548073,171.539993,156.59316,110.849265,88.85
11/12/2020,114.919998,58.75,74.481346,175.960007,156.276655,111.655138,89.38
10/12/2020,114.860001,58.66,73.16539,180.559998,157.08508,112.121322,90.08
9/12/2020,114.290001,58.540001,73.16539,180.559998,157.304006,112.342167,89.64
8/12/2020,114.57,58.57,67.462891,179.100006,157.301773,112.65976,89.71
7/12/2020,114.760002,58.490002,67.462891,179.100006,157.68604,111.846942,88.91
4/12/2020,114.779999,58.389999,67.462891,179.100006,158.055616,112.542596,89.27
3/12/2020,114.68,58.43,43.227295,147.789993,157.92846,111.295776,87.1
2/12/2020,114.199997,58.290001,53.226597,147.539993,157.423129,111.478928,86.48
1/12/2020,114.139999,58.279999,53.226597,147.539993,158.507202,110.593856,86.07
30/11/2020,114.25,58.52,75.209114,166.669998,157.245952,109.710841,85.07
27/11/2020,114.470001,58.549999,77.302689,167.789993,158.19089,109.397863,87.12
25/11/2020,114.099998,58.450001,75.199142,169.509995,157.878536,108.368086,87.14
24/11/2020,114.190002,58.439999,76.186111,169.589996,157.702559,108.827262,87.9
23/11/2020,114.029999,58.48,75.308807,172.229996,155.308192,108.520058,85.74
20/11/2020,114.120003,58.52,76.00666,175.690002,153.682113,108.776394,83.86
19/11/2020,114.040001,58.43,74.810341,175.160004,154.450744,108.991759,83.99
18/11/2020,113.779999,58.380001,72.975967,175.490005,153.722468,109.143199,83.44
17/11/2020,113.879997,58.389999,74.730583,176.5,154.766959,111.097611,84.53
16/11/2020,114.080002,58.279999,76.614799,177.149994,155.415672,111.918148,84.11
13/11/2020,113.830002,58.290001,77.133209,177.160004,153.39952,112.13569,81.71
12/11/2020,113.389999,58.240002,76.086418,172.490005,151.048717,110.669565,79.58
11/11/2020,113.610001,58.119999,73.225204,174.899994,153.014102,111.100364,81.29
10/11/2020,113.18,57.990002,73.225204,174.899994,151.593135,111.284743,81.83
9/11/2020,113.300003,58.040001,66.605522,182.449997,152.182415,110.8913,79.72
6/11/2020,112.760002,58.419998,55.718948,162.389999,152.775151,110.091377,76
5/11/2020,113.260002,58.459999,49.687466,159.419998,153.165363,109.923492,76.8
4/11/2020,112.830002,58.450001,49.687466,159.419998,150.337974,109.665679,74.7
3/11/2020,110.690002,58.310001,46.876095,153.929993,147.169719,105.007449,75.46
2/11/2020,109.800003,58.349998,52.03027,147.660004,144.002808,103.519188,73.53
30/10/2020,110.019997,58.34,71.610168,176.199997,142.97405,101.671296,71.99
29/10/2020,110.32,58.419998,72.966003,175.399994,146.191043,101.744356,72.98
28/10/2020,110.279999,58.419998,71.231323,176.130005,145.149873,102.474886,71.84
27/10/2020,111.230003,58.43,72.238235,179.020004,150.007564,105.881849,74.06
26/10/2020,110.57,58.32,70.593285,178.550003,150.04468,106.614425,75.05
23/10/2020,110.970001,58.27,70.762764,178.639999,152.969943,107.807904,76.67
22/10/2020,110.449997,58.209999,70.882393,178.830002,151.619401,107.390334,76.27
21/10/2020,110.970001,58.290001,71.35096,180.600006,151.370305,105.82254,75.13
20/10/2020,111.540001,58.400002,72.058784,179.25,152.146771,106.302269,75.47
19/10/2020,111.480003,58.459999,71.061844,178.389999,150.958057,106.161965,74.97
16/10/2020,112.129997,58.48,71.988998,178.300003,153.161304,107.930576,75.84
15/10/2020,111.959999,58.43,71.18148,178.919998,154.203031,106.842049,76.32
14/10/2020,112.410004,58.380001,71.849426,178.270004,153.657123,107.618177,75.31
13/10/2020,112.449997,58.32,72.995911,177.720001,155.426663,108.295803,75.7
12/10/2020,112.730003,58.25,77.003601,172.169998,155.386284,109.079063,76.56
9/10/2020,112.440002,58.240002,65.658432,182.460007,153.353545,108.350868,76.02
8/10/2020,112.169998,58.18,67.004303,190.149994,151.802127,107.406114,75.68
7/10/2020,111.089996,58.080002,69.53653,169.190002,150.852544,106.902511,74.56
6/10/2020,110.849998,58.119999,57.64304,163.570007,147.496709,104.922365,73.47
5/10/2020,110.769997,58.080002,57.64304,163.570007,150.226828,106.31204,73.56
2/10/2020,110.339996,58.209999,51.332417,148.169998,148.217106,104.134727,71.93
1/10/2020,110.730003,58.169998,52.907578,146.910004,148.85372,105.089516,71.18
30/9/2020,110.889999,58.189999,67.971336,177.119995,146.989488,105.557538,70.18
