Date,Rate
2/1/1962,4.06
3/1/1962,4.03
4/1/1962,3.99
5/1/1962,4.02
8/1/1962,4.03
9/1/1962,4.05
10/1/1962,4.07
11/1/1962,4.08
12/1/1962,4.08
15/1/1962,4.1
16/1/1962,4.13
17/1/1962,4.12
18/1/1962,4.11
19/1/1962,4.11
22/1/1962,4.09
23/1/1962,4.11
24/1/1962,4.1
25/1/1962,4.11
26/1/1962,4.11
29/1/1962,4.12
30/1/1962,4.11
31/1/1962,4.1
1/2/1962,4.09
2/2/1962,4.08
5/2/1962,4.07
6/2/1962,4.06
7/2/1962,4.07
8/2/1962,4.07
9/2/1962,4.05
12/2/1962,4.05
13/2/1962,4.03
14/2/1962,4.03
15/2/1962,4.02
16/2/1962,4.02
19/2/1962,4.01
20/2/1962,4.05
21/2/1962,4.03
22/2/1962,4.03
23/2/1962,4.02
26/2/1962,4
27/2/1962,4.01
28/2/1962,4
1/3/1962,3.98
2/3/1962,3.98
5/3/1962,4
6/3/1962,4.01
7/3/1962,4
8/3/1962,3.98
9/3/1962,3.96
12/3/1962,3.94
13/3/1962,3.92
14/3/1962,3.93
15/3/1962,3.96
16/3/1962,3.96
19/3/1962,3.93
20/3/1962,3.91
21/3/1962,3.86
22/3/1962,3.83
23/3/1962,3.87
26/3/1962,3.89
27/3/1962,3.9
28/3/1962,3.9
29/3/1962,3.9
30/3/1962,3.86
2/4/1962,3.86
3/4/1962,3.83
4/4/1962,3.78
5/4/1962,3.84
6/4/1962,3.81
9/4/1962,3.83
10/4/1962,3.83
11/4/1962,3.87
12/4/1962,3.86
13/4/1962,3.85
16/4/1962,3.83
17/4/1962,3.82
18/4/1962,3.81
19/4/1962,3.82
20/4/1962,3.82
23/4/1962,3.86
24/4/1962,3.87
25/4/1962,3.88
26/4/1962,3.89
27/4/1962,3.86
30/4/1962,3.86
1/5/1962,3.85
2/5/1962,3.86
3/5/1962,3.86
4/5/1962,3.87
7/5/1962,3.86
8/5/1962,3.85
9/5/1962,3.82
10/5/1962,3.83
11/5/1962,3.82
14/5/1962,3.85
15/5/1962,3.87
16/5/1962,3.86
17/5/1962,3.87
18/5/1962,3.93
21/5/1962,3.94
22/5/1962,3.93
23/5/1962,3.91
24/5/1962,3.9
25/5/1962,3.88
28/5/1962,3.87
29/5/1962,3.89
30/5/1962,3.89
31/5/1962,3.9
1/6/1962,3.89
4/6/1962,3.88
5/6/1962,3.89
6/6/1962,3.89
7/6/1962,3.87
8/6/1962,3.86
11/6/1962,3.87
12/6/1962,3.86
13/6/1962,3.87
14/6/1962,3.9
15/6/1962,3.89
18/6/1962,3.91
19/6/1962,3.93
20/6/1962,3.92
21/6/1962,3.9
22/6/1962,3.9
25/6/1962,3.95
26/6/1962,3.97
27/6/1962,3.96
28/6/1962,3.98
29/6/1962,4
2/7/1962,4
3/7/1962,4
4/7/1962,4
5/7/1962,4
6/7/1962,4.02
9/7/1962,4.05
10/7/1962,4.02
11/7/1962,3.99
12/7/1962,4
13/7/1962,4
16/7/1962,4.01
17/7/1962,4.03
18/7/1962,4.02
19/7/1962,4.02
20/7/1962,4.01
23/7/1962,4
24/7/1962,4.01
25/7/1962,4.02
26/7/1962,4.01
27/7/1962,4.02
30/7/1962,4.03
31/7/1962,4.04
1/8/1962,4.03
2/8/1962,4
3/8/1962,4.01
6/8/1962,4.01
7/8/1962,4.02
8/8/1962,4.01
9/8/1962,3.99
10/8/1962,3.99
13/8/1962,3.99
14/8/1962,3.98
15/8/1962,3.98
16/8/1962,3.96
17/8/1962,3.96
20/8/1962,3.94
21/8/1962,3.94
22/8/1962,3.95
23/8/1962,3.95
24/8/1962,3.95
27/8/1962,3.95
28/8/1962,3.96
29/8/1962,3.96
30/8/1962,3.95
31/8/1962,3.96
3/9/1962,3.96
4/9/1962,3.96
5/9/1962,3.97
6/9/1962,3.99
7/9/1962,4.01
10/9/1962,4
11/9/1962,4
12/9/1962,4
13/9/1962,3.99
14/9/1962,3.99
17/9/1962,3.99
18/9/1962,3.98
19/9/1962,3.99
20/9/1962,3.98
21/9/1962,3.98
24/9/1962,3.97
25/9/1962,3.96
26/9/1962,3.95
27/9/1962,3.95
28/9/1962,3.94
1/10/1962,3.93
2/10/1962,3.92
3/10/1962,3.9
4/10/1962,3.9
5/10/1962,3.92
8/10/1962,3.93
9/10/1962,3.95
10/10/1962,3.93
11/10/1962,3.94
12/10/1962,3.94
15/10/1962,3.94
16/10/1962,3.94
17/10/1962,3.94
18/10/1962,3.92
19/10/1962,3.88
22/10/1962,3.91
23/10/1962,3.94
24/10/1962,3.94
25/10/1962,3.94
26/10/1962,3.93
29/10/1962,3.92
30/10/1962,3.92
31/10/1962,3.92
1/11/1962,3.92
2/11/1962,3.91
